,dataset,act,seed,dim_hidden,max_dist_prior,rmse_prior_mean,rmse_prior_var,rmse_test
45,two_dim_toy100,tanh,2,8000,0.4555789618604455,0.3115393675877882,0.06503267665842646,0.9258232116699219
46,two_dim_toy100,relu,2,16000,1.0577032962896373,0.7581162134446932,0.213105651951424,0.9398210048675537
47,two_dim_toy100,tanh,2,16000,0.28308989258018025,0.223607349209621,0.04187957620778958,0.9209073781967163
48,two_dim_toy100,relu,3,125,2.3762523935917543,1.3103583485501722,0.646749964830035,0.30682307481765747
49,two_dim_toy100,tanh,3,125,1.628000929405224,0.700523612884126,0.40950039660198384,0.41567686200141907
50,two_dim_toy100,relu,3,250,1.411115199360115,0.6635212235511004,0.6239208404712151,0.48497071862220764
51,two_dim_toy100,tanh,3,250,1.8572928234376471,0.8197264911794789,0.38166354577047,0.5033707022666931
52,two_dim_toy100,relu,3,500,1.0653337534329048,0.4687664821076236,0.6067877530664977,0.5384374856948853
53,two_dim_toy100,tanh,3,500,1.5336932492455644,0.7012900973110361,0.3696149970519452,0.47843968868255615
54,two_dim_toy100,relu,3,1000,1.2875631739188835,0.6242245351550927,0.5670971056228626,0.5944751501083374
55,two_dim_toy100,tanh,3,1000,1.3217488403023256,0.6166225695949127,0.28045209810776356,0.7152848243713379
56,two_dim_toy100,relu,3,2000,0.9966164753506782,0.3818655872041794,0.5574460986741705,0.709073543548584
57,two_dim_toy100,tanh,3,2000,1.0062674362838502,0.5783520824424584,0.23318618653287917,0.7370994687080383
58,two_dim_toy100,relu,3,4000,0.7688718485886741,0.5563088939242886,0.4409529554354011,0.9453848004341125
59,two_dim_toy100,tanh,3,4000,0.7145331039590899,0.44376586863246054,0.117047360503963,0.8372476696968079
60,two_dim_toy100,relu,3,8000,1.004085192334582,0.7664601235830157,0.3324892444711232,0.9362353086471558
61,two_dim_toy100,tanh,3,8000,0.49704617019951075,0.34201573695200355,0.10859430278440804,0.9092812538146973
62,two_dim_toy100,relu,3,16000,1.0479967811716766,0.7820532156703742,0.18898827607101687,0.941313624382019
63,two_dim_toy100,tanh,3,16000,0.34065485017410596,0.24545532203276296,0.0564510119145421,0.9231453537940979
64,two_dim_toy100,relu,4,125,1.3541800477860246,0.6392068003425562,0.677190298151646,0.39925113320350647
65,two_dim_toy100,tanh,4,125,2.1140385551278036,1.1563949723828348,0.4183211480198466,0.4105461835861206
66,two_dim_toy100,relu,4,250,1.268450754011747,0.47828223226190364,0.6584542833280201,0.46551650762557983
67,two_dim_toy100,tanh,4,250,1.8634589504478873,0.9051656466517027,0.38130744974116487,0.5033707022666931
68,two_dim_toy100,relu,4,500,1.109174950061271,0.47979398623681396,0.638342853900419,0.5384374856948853
69,two_dim_toy100,tanh,4,500,1.5703388089325703,0.7642830141224561,0.333119257962686,0.47843968868255615
70,two_dim_toy100,relu,4,1000,1.281715054798296,0.696102040554767,0.5924086492203134,0.5944751501083374
71,two_dim_toy100,tanh,4,1000,1.3621678420032821,0.5910421281159257,0.2931274523190507,0.7152848243713379
72,two_dim_toy100,relu,4,2000,0.9369351736134452,0.36650592218798195,0.5312927283438481,0.709073543548584
73,two_dim_toy100,tanh,4,2000,0.9970041527590287,0.586617245459187,0.23276323947197713,0.7370994687080383
74,two_dim_toy100,relu,4,4000,0.8154393964020372,0.5599376832238205,0.45659716321693794,0.9453848004341125
75,two_dim_toy100,tanh,4,4000,0.7079677010395093,0.4206695066003265,0.14633647517433285,0.8372476696968079
76,two_dim_toy100,relu,4,8000,1.0253416953223027,0.7027287480498482,0.3313166973255987,0.9362353086471558
77,two_dim_toy100,tanh,4,8000,0.4831032920848774,0.3535232345381797,0.10062322886600034,0.9092812538146973
78,two_dim_toy100,relu,4,16000,0.9717040092641345,0.7616471761791871,0.22005341784659913,0.941313624382019
79,two_dim_toy100,tanh,4,16000,0.3790812820880184,0.2312394073305176,0.0314751936298046,0.9231453537940979
