,dataset,act,seed,dim_hidden,max_dist_prior,rmse_prior_mean,rmse_prior_var,rmse_test
62,concrete_slump,relu,3,16000,3.261577192339366,1.5395353665403932,0.1666437429358506,0.7239072708748593
63,concrete_slump,tanh,3,16000,0.8161032958704543,0.4083207823912444,0.027502459605908167,0.8135402766085594
64,concrete_slump,relu,4,125,2.891771458413404,0.6515200768250654,0.6621243198843305,0.7206932412431012
65,concrete_slump,tanh,4,125,2.4654567810134695,1.8389822526519157,0.4166501669519789,0.45491253325654346
66,concrete_slump,relu,4,250,1.6533559891235086,0.6064951675322265,0.7093267274830313,0.6226663791293444
67,concrete_slump,tanh,4,250,2.1085970133758827,1.617290148514892,0.40534960725161195,0.4620912106714912
68,concrete_slump,relu,4,500,2.590949359260725,0.9547820678073106,0.5996597258459573,0.5953026251723954
69,concrete_slump,tanh,4,500,1.9896017229948224,1.6481797632450468,0.35368016376829137,0.4765441555031113
70,concrete_slump,relu,4,1000,2.683607317119292,1.1625596662506354,0.5230344279978631,0.6143163838112228
71,concrete_slump,tanh,4,1000,1.7491554992898672,1.349660559374408,0.2927813469387959,0.5454767576555183
72,concrete_slump,relu,4,2000,2.716271897371368,1.2041410388460116,0.5153538172929406,0.6095908084873625
73,concrete_slump,tanh,4,2000,1.4381467311054024,1.1344133071142926,0.22094777996543022,0.624532316351823
74,concrete_slump,relu,4,4000,2.9222359037182764,1.3999617546417653,0.418423676077129,0.6556373718428228
75,concrete_slump,tanh,4,4000,1.2942619439067786,1.012507719147091,0.1361341954226195,0.6624723782971593
76,concrete_slump,relu,4,8000,2.899108763748346,1.5401749579526987,0.3185141489498981,0.6759725291553672
77,concrete_slump,tanh,4,8000,1.0083342458572488,0.6867912761042823,0.08652063347379642,0.7666927400609874
78,concrete_slump,relu,4,16000,2.968931976915908,1.7206304047251013,0.1707192218190522,0.734524783149192
79,concrete_slump,tanh,4,16000,0.8751734078172289,0.40525509675201826,0.044990306565361717,0.9052003281716108
